DailyScore,WeeklyScore,MonthlyScore,sym,DailyScore_trend,WeeklyScore_trend,MonthlyScore_trend
0.693704710703732,0.6888555571909567,1.9609599786794079,MMM,0.03469858076635717,0.3338799504629265,0.7181498253359938
0.697125189467208,1.213246314732524,0.9237053164991406,AOS,-0.19721974240804477,-0.43891153873644095,0.054836649127488694
0.6279939572340656,0.7046637237752905,0.7984256726346065,ABT,-0.1695385182340866,0.23376464299823663,0.25368001190493844
1.4488555123441258,1.0232683078387832,1.5183944496293373,ABBV,-0.23121843335369507,-0.196596959889532,0.4878132192106745
0.5746618022383543,0.9876447922801155,0.7866261073423257,ACN,0.07986515634343219,0.31727756143415453,0.3026603738785705
0.802580024607098,1.0590402119654263,1.1834549439302822,ADM,-0.2599527471950904,-0.4622773882569367,-0.40048996250211344
1.3434640630187498,0.921508170059045,0.7326517608234009,ADBE,0.6664173061850989,0.1410591696903433,0.08650253541005419
0.8309516895655535,1.6837683414934919,1.4124576398215523,ADP,0.009153212756829638,0.7923127177717428,0.7369956374598414
1.4130485232656251,1.576720666796899,0.7869473920410582,AAP,0.6785038372447225,-0.1741838808005566,-0.6056694988184517
0.6715789991300238,1.588141415846956,0.7200658783504208,AES,-0.16991641637023877,-0.6418092585227383,-0.30557501767042466
1.457835805874509,1.066838874954651,2.0086874572237905,AFL,-0.607089501049788,0.23544422629082537,0.9263217547029939
1.5077252148920322,0.6048377034548205,0.7480954940898085,A,0.46677077735994066,0.05516625587356341,0.11986573718864067
1.3597469082498284,1.6403057196485638,0.923495455922666,APD,-0.254583359344244,0.5680004442957984,0.41398835796206546
1.9708618353013796,1.0059100689960525,0.8345055580930689,AKAM,0.42559022375984984,-0.09975921636856226,-0.06424868845608306
1.1254299982999936,2.27017704423621,0.9052385656199449,ALK,0.741937438798788,0.9875911551037688,0.3572942412467154
0.6415919345325864,0.9063116933046904,1.1554874596210247,ALB,0.029193750599177913,0.15857312683836147,-0.35969855839045983
1.026594075965386,0.8609228378123561,0.5911268125139059,ARE,-0.41818242220511287,-0.377596053938384,-0.18819227429631188
0.8055535498298889,0.6574229409239767,0.9045238544444059,ALGN,0.26775971308660806,-0.05573023911961831,-0.23271781082673426
0.42088552752703456,0.9525579797363758,1.0955635158174557,ALLE,-0.05181315085225314,0.16641404026187534,0.4082486122937775
1.2564095024492115,1.0378203511501125,1.1946998764868386,LNT,-0.11391597110232977,0.5067831278187359,0.542277534691387
1.1065787777219462,1.1297341282360427,2.143920966376329,ALL,0.0036208160927598573,0.5151057197060913,0.8363908084524623
1.2556427684054638,0.7959496338884213,1.2122451191207142,GOOGL,0.4555329125440765,0.3036481619558748,0.521662569595081
1.2578892321237203,0.805975958971179,1.221269415158359,GOOG,0.4588668756973325,0.3072108866196867,0.5250487590310406
1.0341935392759947,1.5985639540171237,1.8785780070091314,MO,0.15513860103476507,0.8900431601827397,0.9332061163847729
